"Dates","ARCELOR.MITTAL"
"2003-10-21",10.4838
"2003-10-22",10.47275
"2003-10-23",10.28515
"2003-10-24",10.30725
"2003-10-27",10.00925
"2003-10-28",10.43965
"2003-10-29",10.4176
"2003-10-30",10.79275
"2003-10-31",10.7928
"2003-11-03",10.55
"2003-11-04",10.8259
"2003-11-05",11.179
"2003-11-06",11.47695
"2003-11-07",11.84115
"2003-11-10",11.8632
"2003-11-11",12.02875
"2003-11-12",12.0398
"2003-11-13",12.05085
"2003-11-14",12.0619
"2003-11-17",12.1943
"2003-11-18",12.18325
"2003-11-19",11.75285
"2003-11-20",12.02875
"2003-11-21",12.30465
"2003-11-24",12.4481
"2003-11-25",12.2605
"2003-11-26",12.6357
"2003-11-27",12.735
"2003-11-28",12.735
"2003-12-01",13.353
"2003-12-02",13.51855
"2003-12-03",13.4082
"2003-12-04",13.6399
"2003-12-05",14.9642
"2003-12-08",12.96675
"2003-12-09",13.2868
"2003-12-10",13.35305
"2003-12-11",13.73925
"2003-12-12",14.45655
"2003-12-15",14.73245
"2003-12-16",14.84285
"2003-12-17",15.06355
"2003-12-18",14.6331
"2003-12-19",14.6221
"2003-12-22",15.05245
"2003-12-23",15.2842
"2003-12-24",15.2842
"2003-12-25",15.2842
"2003-12-26",15.2842
"2003-12-29",15.69255
"2003-12-30",15.78085
"2003-12-31",15.1739
"2004-01-01",15.1739
"2004-01-02",15.62635
"2004-01-05",15.6705
"2004-01-06",15.97945
"2004-01-07",15.67045
"2004-01-08",15.72565
"2004-01-09",14.6773
"2004-01-12",13.79445
"2004-01-13",13.12125
"2004-01-14",13.80545
"2004-01-15",14.29105
"2004-01-16",14.3352
"2004-01-19",14.29105
"2004-01-20",14.0372
"2004-01-21",13.91585
"2004-01-22",14.30205
"2004-01-23",14.1255
"2004-01-26",14.1255
"2004-01-27",14.29105
"2004-01-28",14.29105
"2004-01-29",13.26475
"2004-01-30",12.80125
"2004-02-02",13.24265
"2004-02-03",13.43025
"2004-02-04",12.6357
"2004-02-05",12.6247
"2004-02-06",12.3819
"2004-02-09",12.9116
"2004-02-10",13.45235
